Dim,S0,Basis,Degree,Mean Price,Std Dev,Avg Time (s)
2,90,Monomial,2,15.952041116400673,0.07835407348533939,0.1695023799955379
2,90,Monomial,3,16.010999399096654,0.08182246985113951,0.21154799999494572
2,90,Laguerre,2,15.952041116400673,0.07835407348533939,0.21755545999621972
2,90,Laguerre,3,16.010999399096654,0.08182246985113951,0.2964364899962675
2,90,Hermite,2,15.952041116400673,0.07835407348533939,0.2870215900038602
2,90,Hermite,3,16.010999399096654,0.08182246985113951,0.40806663999683224
2,90,Legendre,2,15.952041116400673,0.07835407348533939,0.23252940000093075
2,90,Legendre,3,16.010999399096654,0.08182246985113951,0.23104744000011124
2,90,Chebyshev,2,15.952041116400673,0.07835407348533939,0.19052728999813554
2,90,Chebyshev,3,16.010999399096654,0.08182246985113951,0.20646261000074445
2,100,Monomial,2,10.930122453331915,0.09897123276181898,0.1404280499991728
2,100,Monomial,3,10.954547192243465,0.08653648245278918,0.16898273000260816
2,100,Laguerre,2,10.930122453331915,0.09897123276181898,0.18240237000281923
2,100,Laguerre,3,10.954547192243465,0.08653648245278918,0.2094971499987878
2,100,Hermite,2,10.930122453331915,0.09897123276181898,0.20338959000073373
2,100,Hermite,3,10.954547192243465,0.08653648245278918,0.28371618000091986
2,100,Legendre,2,10.930122453331915,0.09897123276181898,0.1781427200010512
2,100,Legendre,3,10.954547192243465,0.08653648245278918,0.20175467000808567
2,100,Chebyshev,2,10.930122453331915,0.09897123276181898,0.1714366499974858
2,100,Chebyshev,3,10.954547192243465,0.08653648245278918,0.1949863899993943
2,110,Monomial,2,7.239693178617077,0.0812645843925079,0.13088288999861106
2,110,Monomial,3,7.269744047140283,0.0809618454510188,0.13398299000109545
2,110,Laguerre,2,7.239693178617077,0.0812645843925079,0.1518060799979139
2,110,Laguerre,3,7.269744047140283,0.0809618454510188,0.16880044999707025
2,110,Hermite,2,7.239693178617077,0.0812645843925079,0.1718926499976078
2,110,Hermite,3,7.269744047140283,0.0809618454510188,0.23278685999976007
2,110,Legendre,2,7.239693178617077,0.0812645843925079,0.15500944000086747
2,110,Legendre,3,7.269744047140283,0.0809618454510188,0.18784455000422895
2,110,Chebyshev,2,7.239693178617077,0.0812645843925079,0.14259377999696882
2,110,Chebyshev,3,7.269744047140283,0.0809618454510188,0.15003389999619685
10,90,Monomial,2,10.938120019137676,0.0433563696967206,0.20928249999997206
10,90,Monomial,3,10.948723315557116,0.03728239473936504,0.21671322999754922
10,90,Laguerre,2,10.938120019137676,0.0433563696967206,0.20693470000405795
10,90,Laguerre,3,10.948723315557116,0.03728239473936504,0.256742390000727
10,90,Hermite,2,10.938120019137676,0.0433563696967206,0.2475450500001898
10,90,Hermite,3,10.948723315557116,0.03728239473936504,0.3761545600049431
10,90,Legendre,2,10.938120019137676,0.0433563696967206,0.20583747999626212
10,90,Legendre,3,10.948723315557116,0.03728239473936504,0.24110574999649542
10,90,Chebyshev,2,10.938120019137676,0.0433563696967206,0.1909683599951677
10,90,Chebyshev,3,10.948723315557116,0.03728239473936504,0.2187425499985693
10,100,Monomial,2,4.773750027123779,0.028861277613695824,0.144725749999634
10,100,Monomial,3,4.782293335783381,0.02660988436816329,0.1670075200003339
10,100,Laguerre,2,4.773750027123779,0.028861277613695824,0.17259700000286102
10,100,Laguerre,3,4.782293335783381,0.02660988436816329,0.20269184000208043
10,100,Hermite,2,4.773750027123779,0.028861277613695824,0.20164309999963734
10,100,Hermite,3,4.782293335783381,0.02660988436816329,0.2793002499995055
10,100,Legendre,2,4.773750027123779,0.028861277613695824,0.17456226999929642
10,100,Legendre,3,4.782293335783381,0.02660988436816329,0.1993155000032857
10,100,Chebyshev,2,4.773750027123779,0.028861277613695824,0.16359155000245665
10,100,Chebyshev,3,4.782293335783381,0.02660988436816329,0.1829666199948406
10,110,Monomial,2,1.63754508433717,0.014446724790842781,0.098311949998606
10,110,Monomial,3,1.6461987792590336,0.020323769623644277,0.10204660000163131
10,110,Laguerre,2,1.63754508433717,0.014446724790842781,0.11534624000487384
10,110,Laguerre,3,1.6461987792590336,0.020323769623644277,0.13343814999680034
10,110,Hermite,2,1.63754508433717,0.014446724790842781,0.12610866000468376
10,110,Hermite,3,1.6461987792590336,0.020323769623644277,0.15508580999739935
10,110,Legendre,2,1.63754508433717,0.014446724790842781,0.12001342000439763
10,110,Legendre,3,1.6461987792590336,0.020323769623644277,0.13852003000210972
10,110,Chebyshev,2,1.63754508433717,0.014446724790842781,0.10853505000122823
10,110,Chebyshev,3,1.6461987792590336,0.020323769623644277,0.11978371000441257
25,90,Monomial,2,10.020287545623816,0.01679175826361719,0.20000800999696366
25,90,Monomial,3,10.028475503269338,0.014578962990853626,0.23573008000093978
25,90,Laguerre,2,10.020287545623816,0.01679175826361719,0.22734468999842647
25,90,Laguerre,3,10.028475503269338,0.014578962990853626,0.2825735399994301
25,90,Hermite,2,10.020287545623816,0.01679175826361719,0.2684011599951191
25,90,Hermite,3,10.028475503269338,0.014578962990853626,0.4045359199983068
25,90,Legendre,2,10.020287545623816,0.01679175826361719,0.2681931000057375
25,90,Legendre,3,10.028475503269338,0.014578962990853626,0.27414354000065944
25,90,Chebyshev,2,10.020287545623816,0.01679175826361719,0.21006236999819522
25,90,Chebyshev,3,10.028475503269338,0.014578962990853626,0.24577057000424246
25,100,Monomial,2,2.9067933313254866,0.021987762382714736,0.1834928799973568
25,100,Monomial,3,2.9193101467564064,0.02151555949974553,0.18150843999756033
25,100,Laguerre,2,2.9067933313254866,0.021987762382714736,0.18777947000635323
