algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,alpha,k,weights,step_param1,step_param2,step_param3,step_param4,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
RFQI,BlackScholes,Call,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,7.364619577885466,3.2997119426727295,0.14616942405700684,3.1535425186157227,,,,,,central,,0.74594

RFQI,BlackScholes,Call,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,10.797615065989275,4.043299913406372,0.14664220809936523,3.896657705307007,,,,,,central,,0.9965200000000001

RFQI,BlackScholes,Call,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,10.309055163863091,3.401703357696533,0.1496729850769043,3.252030372619629,,,,,,central,,0.99782

RFQI,BlackScholes,Call,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.9807323823134695,3.5520434379577637,0.15016627311706543,3.4018771648406982,,,,,,central,,0.6622600000000001

RFQI,BlackScholes,Call,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,10.388507634620932,3.564342498779297,0.14894795417785645,3.4153945446014404,,,,,,central,,0.9546

RFQI,BlackScholes,Call,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,16.88761988227716,3.4950203895568848,0.1659221649169922,3.3290982246398926,,,,,,central,,0.99926

RFQI,BlackScholes,Call,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,18.051045883735444,3.553215742111206,0.14803028106689453,3.4051854610443115,,,,,,central,,0.99998

RFQI,BlackScholes,Call,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,18.281161377697078,3.1680197715759277,0.16073870658874512,3.0072810649871826,,,,,,central,,0.99826

RFQI,BlackScholes,Call,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,18.226519410682975,2.9096152782440186,0.18560791015625,2.7240073680877686,,,,,,central,,0.99872

RFQI,BlackScholes,Call,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,17.43165869923115,3.0557100772857666,0.1851949691772461,2.8705151081085205,,,,,,central,,0.9968199999999999

RLSM,BlackScholes,Call,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,7.1509954372647595,0.5826778411865234,0.2346479892730713,0.34802985191345215,,,,,,central,,0.57844

RLSM,BlackScholes,Call,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,7.412351563862912,0.630164623260498,0.2713441848754883,0.35882043838500977,,,,,,central,,0.5828399999999999

RLSM,BlackScholes,Call,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.766536611248464,0.9723713397979736,0.23661375045776367,0.73575758934021,,,,,,central,,0.38894

RLSM,BlackScholes,Call,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.1558523796164115,0.8276238441467285,0.3224642276763916,0.5051596164703369,,,,,,central,,0.50074

RLSM,BlackScholes,Call,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.578865454699904,0.49880290031433105,0.3171076774597168,0.18169522285461426,,,,,,central,,0.38416

RLSM,BlackScholes,Call,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,9.160729890797214,0.48964691162109375,0.3331434726715088,0.15650343894958496,,,,,,central,,0.3873400000000001

RLSM,BlackScholes,Call,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,11.89434563719388,0.5688579082489014,0.35881805419921875,0.21003985404968262,,,,,,central,,0.4886800000000001

RLSM,BlackScholes,Call,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,8.603319994892844,0.47125840187072754,0.2698194980621338,0.20143890380859375,,,,,,central,,0.3384

RLSM,BlackScholes,Call,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,15.630325614933373,0.44072437286376953,0.29247570037841797,0.14824867248535156,,,,,,central,,0.6892

RLSM,BlackScholes,Call,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,11.762106657093167,0.4690744876861572,0.30170464515686035,0.16736984252929688,,,,,,central,,0.4805000000000001

