algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,k,notional,leverage,barrier_stop_loss,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
RLSM,BlackScholes,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,9.97341158061761,3.4335312843322754,0.8303012847900391,2.6032299995422363,,,,,,central,,0.9233596153846154

RLSM,BlackScholes,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,10.044684135840514,3.4838645458221436,0.937859058380127,2.5460054874420166,,,,,,central,,0.938701923076923

RLSM,BlackScholes,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,10.151974411316747,3.5239574909210205,0.8949406147003174,2.629016876220703,,,,,,central,,0.9359596153846155

RLSM,BlackScholes,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,10.03320970424853,3.4894280433654785,0.9276206493377686,2.56180739402771,,,,,,central,,0.9309201923076922

RLSM,BlackScholes,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,9.91339453663637,3.4709255695343018,0.9008913040161133,2.5700342655181885,,,,,,central,,0.9175384615384615

RLSM,BlackScholes,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,10.033834360490578,3.5708510875701904,0.9951069355010986,2.575744152069092,,,,,,central,,0.9207096153846153

RLSM,BlackScholes,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,10.052439190791063,3.5256195068359375,0.922980785369873,2.6026387214660645,,,,,,central,,0.9265865384615385

RLSM,BlackScholes,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,9.961477830467071,3.5199265480041504,0.9548530578613281,2.5650734901428223,,,,,,central,,0.9262548076923078

RLSM,BlackScholes,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,10.044190501828172,3.4607491493225098,0.9293625354766846,2.531386613845825,,,,,,central,,0.9249778846153848

RLSM,BlackScholes,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,9.949370149334253,3.4931013584136963,0.928781270980835,2.5643200874328613,,,,,,central,,0.9199028846153846

RLSM,RealData,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,12.229790471137159,8.511807680130005,7.5127410888671875,0.9990665912628174,,,,,,central,,0.9518278846153847

RLSM,RealData,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,12.06448596049807,8.997795581817627,7.744596719741821,1.2531988620758057,,,,,,central,,0.9533057692307692

RLSM,RealData,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,12.383961741932675,9.1497220993042,7.857651948928833,1.2920701503753662,,,,,,central,,0.9636384615384613

RLSM,RealData,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,12.226068321869317,9.094867706298828,7.884617567062378,1.2102501392364502,,,,,,central,,0.937739423076923

RLSM,RealData,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,12.139154063107833,8.795050382614136,7.624582767486572,1.1704676151275635,,,,,,central,,0.9421423076923077

RLSM,RealData,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,12.127717265930201,10.516849279403687,9.150799989700317,1.3660492897033691,,,,,,central,,0.9751798076923078

RLSM,RealData,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,12.394786164694876,10.690911769866943,9.261569261550903,1.42934250831604,,,,,,central,,0.9704932692307692

RLSM,RealData,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,12.426649837621504,10.31440806388855,8.903225898742676,1.411182165145874,,,,,,central,,0.9672336538461537

RLSM,RealData,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,12.251704372783994,10.275500297546387,8.929726123809814,1.3457741737365723,,,,,,central,,0.9658836538461539

RLSM,RealData,MaxCall,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,12.188826659832491,10.688250541687012,9.304356098175049,1.383894443511963,,,,,,central,,0.9392240384615385

RLSM,BlackScholes,MaxPut,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.2265332785904051,1.6038260459899902,0.598029375076294,1.0057966709136963,,,,,,central,,0.07583653846153847

RLSM,BlackScholes,MaxPut,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.3062258742368059,1.6340744495391846,0.5872468948364258,1.0468275547027588,,,,,,central,,0.11127596153846152

RLSM,BlackScholes,MaxPut,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.24140770317126412,1.5836033821105957,0.5949549674987793,0.9886484146118164,,,,,,central,,0.09384807692307692

RLSM,BlackScholes,MaxPut,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.2818838767309646,1.5883419513702393,0.5888998508453369,0.9994421005249023,,,,,,central,,0.10161057692307693

RLSM,BlackScholes,MaxPut,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.2770904744160068,1.627448320388794,0.590123176574707,1.037325143814087,,,,,,central,,0.10334326923076924

RLSM,BlackScholes,MaxPut,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.22983045595485752,1.7167303562164307,0.5808684825897217,1.135861873626709,,,,,,central,,0.08279903846153845

RLSM,BlackScholes,MaxPut,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.2476381914797691,1.7046685218811035,0.6127970218658447,1.0918715000152588,,,,,,central,,0.08569615384615384

RLSM,BlackScholes,MaxPut,0.05,0.2,0.01,2,-0.3,0.75,3,20000,52,100,100,0.0,1,1,1,2,1.0,2.0,0.9,0.25,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.2017808120593966,1.8081133365631104,0.6876139640808105,1.1204993724822998,,,,,,central,,0.0689326923076923

