algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,alpha,k,weights,step_param1,step_param2,step_param3,step_param4,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
SRFQI,BlackScholes,UO-BskCall,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,0.0,11.336151123046875,0.13390684127807617,11.202244281768799,,,,,,central,,1.0

SRFQI,BlackScholes,UO-BskCall,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,0.0,11.0698721408844,0.14952945709228516,10.920342683792114,,,,,,central,,1.0

SRFQI,BlackScholes,UO-BskCall,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,0.0,10.979690074920654,0.14961624145507812,10.830073833465576,,,,,,central,,1.0

SRFQI,BlackScholes,UO-BskCall,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,0.0,10.626359224319458,0.17357611656188965,10.452783107757568,,,,,,central,,1.0

SRFQI,BlackScholes,UO-BskCall,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,0.0,10.985506057739258,0.19807863235473633,10.787427425384521,,,,,,central,,1.0

SRFQI,BlackScholes,UO-BskCall,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,0.0,11.075592279434204,0.24098801612854004,10.834604263305664,,,,,,central,,1.0

SRFQI,BlackScholes,UO-BskCall,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,0.0,11.02060604095459,0.26337718963623047,10.75722885131836,,,,,,central,,1.0

SRFQI,BlackScholes,UO-BskCall,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,0.0,11.5621919631958,0.2935678958892822,11.268624067306519,,,,,,central,,1.0

SRFQI,BlackScholes,UO-BskCall,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,0.0,10.849724531173706,0.23429083824157715,10.615433692932129,,,,,,central,,1.0

SRFQI,BlackScholes,UO-BskCall,0.02,0.2,0.01,2,-0.3,0.75,5,20000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,0.0,10.762696027755737,0.29822254180908203,10.464473485946655,,,,,,central,,1.0

