algo,model,payoff,drift,risk_free_rate,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,alpha,k,weights,step_param1,step_param2,step_param3,step_param4,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
RLSM,BlackScholes,BasketCall,0.05,,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,7.4965807549738805,0.04562497138977051,0.014535188674926758,0.03108978271484375,,,,,,central,,0.73346

RLSM,BlackScholes,BasketCall,0.05,,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,7.648036975783848,0.04627370834350586,0.015009403228759766,0.031264305114746094,,,,,,central,,0.7258600000000001

RLSM,BlackScholes,BasketCall,0.05,,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,7.1857584747938406,0.0390775203704834,0.012733697891235352,0.026343822479248047,,,,,,central,,0.69716

RLSM,BlackScholes,BasketCall,0.05,0.02,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,7.002947898230996,0.05117392539978027,0.015188932418823242,0.03598499298095703,,,,,,central,,0.66782

RLSM,BlackScholes,BasketCall,0.05,0.02,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,7.4025959647222725,0.04112577438354492,0.012849092483520508,0.028276681900024414,,,,,,central,,0.66088

RLSM,BlackScholes,BasketCall,0.05,0.02,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,7.9000806311990885,0.06098628044128418,0.017632007598876953,0.04335427284240723,,,,,,central,,0.75818

RLSM,BlackScholes,BasketCall,0.05,0.03,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,6.897729871894212,0.03796863555908203,0.01458120346069336,0.023387432098388672,,,,,,central,,0.6497400000000001

RLSM,BlackScholes,BasketCall,0.05,0.03,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,7.316281760246767,0.06827044486999512,0.016022920608520508,0.05224752426147461,,,,,,central,,0.7048

RLSM,BlackScholes,BasketCall,0.05,0.03,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,6.955398923418346,0.06502294540405273,0.015254497528076172,0.04976844787597656,,,,,,central,,0.6883

RFQI,BlackScholes,BasketCall,0.05,,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,8.803819165506903,1.3757331371307373,0.026126623153686523,1.3496065139770508,,,,,,central,,1.0

RFQI,BlackScholes,BasketCall,0.05,,0.2,0.01,2,-0.3,0.75,2,5000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,8.676792607655367,1.3952140808105469,0.02413320541381836,1.3710808753967285,,,,,,central,,1.0

