algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,barriers_up,barriers_down
SRLSM,BlackScholes,DoubleBarrierBasketCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,1.7915798024665184,0.1684470176696777,0.0708074569702148,0.0976395606994628,,,,,,central,,,
SRLSM,BlackScholes,DoubleBarrierBasketCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,1.7400352840342388,0.1492726802825927,0.0691990852355957,0.080073595046997,,,,,,central,,,
SRLSM,BlackScholes,DoubleBarrierBasketCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,1.7278285722192892,0.2040483951568603,0.0780005455017089,0.1260478496551513,,,,,,central,,,
SRLSM,BlackScholes,DoubleBarrierBasketCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,1.7139149732221808,0.2341160774230957,0.0854654312133789,0.1486506462097168,,,,,,central,,,
SRLSM,BlackScholes,DoubleBarrierBasketCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,1.795432755709108,0.2569828033447265,0.0846247673034668,0.1723580360412597,,,,,,central,,,
SRLSM,BlackScholes,DoubleBarrierBasketCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,1.7974803750901371,0.3054583072662353,0.0990669727325439,0.2063913345336914,,,,,,central,,,
SRLSM,BlackScholes,DoubleBarrierBasketCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,1.713991529932052,0.420046329498291,0.1368272304534912,0.2832190990447998,,,,,,central,,,
SRLSM,BlackScholes,DoubleBarrierBasketCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,1.7119221361132182,0.3750777244567871,0.1174378395080566,0.2576398849487304,,,,,,central,,,
SRLSM,BlackScholes,DoubleBarrierBasketCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,1.7084239608634495,0.4090526103973388,0.139646291732788,0.2694063186645508,,,,,,central,,,
SRLSM,BlackScholes,DoubleBarrierBasketCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,1.7725086165305384,0.3956422805786133,0.1217453479766845,0.2738969326019287,,,,,,central,,,
