algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,80,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,8.496138572692871,0.013865470886230469,8.48227310180664,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,90,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,8.615452527999878,0.016137361526489258,8.599315166473389,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,95,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,8.385574340820312,0.011982917785644531,8.373591423034668,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,100,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,6.8270392417907715,0.010689020156860352,6.816350221633911,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,105,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.6154280603050627,8.482824563980103,0.013622283935546875,8.469202280044556,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,110,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,2.4955842337504603,7.997366666793823,0.01183009147644043,7.985536575317383,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,120,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,3.0732497254504088,7.9200451374053955,0.01449275016784668,7.905552387237549,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxPut,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,80,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,8.383073806762695,0.01730799674987793,8.365765810012817,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxPut,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,90,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,8.224433660507202,0.01782512664794922,8.206608533859253,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxPut,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,95,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,8.43875527381897,0.01616382598876953,8.4225914478302,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxPut,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,100,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,7.834386587142944,0.016264677047729492,7.818121910095215,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxPut,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,105,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,1.5071696330788735,9.040989875793457,0.01488041877746582,9.026109457015991,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxPut,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,110,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,1.8388374576469497,8.048641204833984,0.014905929565429688,8.033735275268555,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxPut,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,120,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,2.1604486969710597,7.40644383430481,0.016837358474731445,7.389606475830078,,,,,,central,

SRFQI,BlackScholes,UpAndOutMinCall,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,80,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,8.111152648925781,0.01751708984375,8.093635559082031,,,,,,central,

SRFQI,BlackScholes,UpAndOutMinCall,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,90,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,7.082810401916504,0.026470661163330078,7.056339740753174,,,,,,central,

SRFQI,BlackScholes,UpAndOutMinCall,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,95,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,7.164454698562622,0.03277301788330078,7.131681680679321,,,,,,central,

SRFQI,BlackScholes,UpAndOutMinCall,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,100,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,7.426747560501099,0.02219223976135254,7.404555320739746,,,,,,central,

SRFQI,BlackScholes,UpAndOutMinCall,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,105,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.05641643173349602,6.975444793701172,0.014741182327270508,6.960703611373901,,,,,,central,

SRFQI,BlackScholes,UpAndOutMinCall,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,110,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.1883280479434459,7.049856662750244,0.016233205795288086,7.033623456954956,,,,,,central,

SRFQI,BlackScholes,UpAndOutMinCall,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,120,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,1.0982771840368135,7.470564842224121,0.015406608581542969,7.455158233642578,,,,,,central,

SRFQI,BlackScholes,UpAndOutMinPut,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,80,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,7.273310661315918,0.013306379318237305,7.260004281997681,,,,,,central,

SRFQI,BlackScholes,UpAndOutMinPut,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,90,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,7.305907964706421,0.02368307113647461,7.282224893569946,,,,,,central,

SRFQI,BlackScholes,UpAndOutMinPut,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,95,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,7.069754600524902,0.017376422882080078,7.052378177642822,,,,,,central,

SRFQI,BlackScholes,UpAndOutMinPut,0.02,0.2,0.01,2,-0.3,0.75,2,10000,3,100,100,0.0,100,1,30,100,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,7.2912609577178955,0.017998695373535156,7.27326226234436,,,,,,central,

