algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,95,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.049067646108218,6.024277448654175,0.024338960647583008,5.999938488006592,,,,,,central,,0.7317916666666666

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,95,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.194134085676877,6.10701060295105,0.04914569854736328,6.0578649044036865,,,,,,central,,0.7275166666666666

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,95,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.979249759616261,5.957518815994263,0.028792381286621094,5.928726434707642,,,,,,central,,0.6928083333333334

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,95,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.087430400527193,6.164643287658691,0.031342506408691406,6.13330078125,,,,,,central,,0.6941916666666667

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,95,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.033138712360589,6.313198566436768,0.02709674835205078,6.286101818084717,,,,,,central,,0.724525

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,95,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.961801962456349,6.098689556121826,0.02524733543395996,6.073442220687866,,,,,,central,,0.697325

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,95,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.992985046850958,6.165107488632202,0.042212486267089844,6.122895002365112,,,,,,central,,0.7299083333333333

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,95,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.916087963513788,6.048346281051636,0.03198862075805664,6.016357660293579,,,,,,central,,0.721175

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,95,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,6.012330293189791,6.238667249679565,0.03517961502075195,6.2034876346588135,,,,,,central,,0.7085583333333333

SRFQI,BlackScholes,DoubleKnockOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,6,100,100,0.0,95,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.922074968536891,6.092292070388794,0.026008129119873047,6.066283941268921,,,,,,central,,0.7263333333333334

