algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
SRLSM,BlackScholes,DoubleBarrierBasketCall,0.02,0.2,0.01,2,-0.3,0.75,15,10000,9,100,100,0.0,1,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,0.062411010508545445,0.7711281776428223,0.351254940032959,0.4198732376098633,,,,,,central,,0.5575333333333333

SRLSM,BlackScholes,DoubleBarrierBasketCall,0.02,0.2,0.01,2,-0.3,0.75,15,10000,9,100,100,0.0,1,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,0.05355890023569385,0.8145911693572998,0.35936522483825684,0.45522594451904297,,,,,,central,,0.48188888888888887

SRLSM,BlackScholes,DoubleBarrierBasketCall,0.02,0.2,0.01,2,-0.3,0.75,15,10000,9,100,100,0.0,1,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,0.04366155960797839,0.8084714412689209,0.38013529777526855,0.42833614349365234,,,,,,central,,0.5619333333333333

SRLSM,BlackScholes,DoubleBarrierBasketCall,0.02,0.2,0.01,2,-0.3,0.75,15,10000,9,100,100,0.0,1,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,0.05627644991483614,0.5740318298339844,0.24885797500610352,0.32517385482788086,,,,,,central,,0.5321777777777777

SRLSM,BlackScholes,DoubleBarrierBasketCall,0.02,0.2,0.01,2,-0.3,0.75,15,10000,9,100,100,0.0,1,110,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,0.05849369150940455,0.8986928462982178,0.38815784454345703,0.5105350017547607,,,,,,central,,0.5320111111111111

