algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,alpha,k,weights,step_param1,step_param2,step_param3,step_param4,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
SRFQI,BlackScholes,QuantileBasketCall,0.02,0.2,0.01,2,-0.3,0.75,1,2000,5,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,11.878736473061275,0.10365033149719238,0.0016257762908935547,0.10202455520629883,,,,,,central,,0.9899000000000001

SRFQI,BlackScholes,QuantileBasketCall,0.02,0.2,0.01,2,-0.3,0.75,1,2000,5,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,11.570187245573361,0.10390019416809082,0.0017213821411132812,0.10217881202697754,,,,,,central,,0.9783999999999999

SRFQI,BlackScholes,QuantileCall,0.02,0.2,0.01,2,-0.3,0.75,1,2000,5,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,11.984756179141018,0.10960173606872559,0.001753091812133789,0.1078486442565918,,,,,,central,,0.9946

SRFQI,BlackScholes,QuantileCall,0.02,0.2,0.01,2,-0.3,0.75,1,2000,5,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,11.48546533691227,0.13109731674194336,0.0016217231750488281,0.12947559356689453,,,,,,central,,0.9808

SRFQI,BlackScholes,AsianFixedStrikeCall,0.02,0.2,0.01,2,-0.3,0.75,1,2000,5,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.321484176319822,0.22339510917663574,0.002210378646850586,0.22118473052978516,,,,,,central,,0.9943

SRFQI,BlackScholes,AsianFixedStrikeCall,0.02,0.2,0.01,2,-0.3,0.75,1,2000,5,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,4.655249983850837,0.21394062042236328,0.001852273941040039,0.21208834648132324,,,,,,central,,0.9988

SRFQI,BlackScholes,AsianFloatingStrikePut,0.02,0.2,0.01,2,-0.3,0.75,1,2000,5,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,3.7784792684033035,0.24114394187927246,0.0021419525146484375,0.23900198936462402,,,,,,central,,1.0

SRFQI,BlackScholes,AsianFloatingStrikePut,0.02,0.2,0.01,2,-0.3,0.75,1,2000,5,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,4.101092006379774,0.25481367111206055,0.002552509307861328,0.2522611618041992,,,,,,central,,1.0

SRFQI,BlackScholes,LookbackFixedCall,0.02,0.2,0.01,2,-0.3,0.75,1,2000,5,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,12.588252921475032,0.2901315689086914,0.0022330284118652344,0.28789854049682617,,,,,,central,,0.973

SRFQI,BlackScholes,LookbackFixedCall,0.02,0.2,0.01,2,-0.3,0.75,1,2000,5,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,12.338453260901682,0.28035497665405273,0.0027086734771728516,0.2776463031768799,,,,,,central,,0.9833999999999999

SRFQI,BlackScholes,LookbackFloatPut,0.02,0.2,0.01,2,-0.3,0.75,1,2000,5,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,11.028117738493274,0.2843329906463623,0.003557920455932617,0.2807750701904297,,,,,,central,,1.0

SRFQI,BlackScholes,LookbackFloatPut,0.02,0.2,0.01,2,-0.3,0.75,1,2000,5,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,11.091262924113671,0.15021824836730957,0.001585245132446289,0.14863300323486328,,,,,,central,,1.0

SRFQI,BlackScholes,RangeCall,0.02,0.2,0.01,2,-0.3,0.75,1,2000,5,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.03138239245537105,0.18518710136413574,0.001359701156616211,0.18382740020751953,,,,,,central,,1.0

SRFQI,BlackScholes,RangeCall,0.02,0.2,0.01,2,-0.3,0.75,1,2000,5,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.2409820556640625,0.0019931793212890625,0.23898887634277344,,,,,,central,,1.0

SRFQI,BlackScholes,RangeCall_Single,0.02,0.2,0.01,2,-0.3,0.75,1,2000,5,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.23434209823608398,0.0018439292907714844,0.2324981689453125,,,,,,central,,1.0

