algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,alpha,k,weights,step_param1,step_param2,step_param3,step_param4,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
RFQI,BlackScholes,Call,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,7.524310485247182,1.8854947090148926,0.11083459854125977,1.7746601104736328,,,,,,central,,0.7129

RFQI,BlackScholes,Call,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,9.597218296781598,1.9998271465301514,0.12562298774719238,1.874204158782959,,,,,,central,,0.9959

RFQI,BlackScholes,Call,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,9.39021471432758,2.013580083847046,0.12818384170532227,1.8853962421417236,,,,,,central,,0.8294599999999999

RFQI,BlackScholes,Call,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,10.95366542808984,2.1042144298553467,0.10931158065795898,1.9949028491973877,,,,,,central,,0.9998600000000001

RFQI,BlackScholes,Call,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,9.949987881512033,1.911435842514038,0.11246013641357422,1.7989757061004639,,,,,,central,,0.98988

RFQI,BlackScholes,Call,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,17.905100678164953,2.0278618335723877,0.1255018711090088,1.902359962463379,,,,,,central,,0.99834

RFQI,BlackScholes,Call,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,18.771027461673867,2.1506216526031494,0.13808941841125488,2.0125322341918945,,,,,,central,,0.9876

RFQI,BlackScholes,Call,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,15.514949655795244,2.219072103500366,0.15923237800598145,2.0598397254943848,,,,,,central,,0.79368

RFQI,BlackScholes,Call,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,18.45612535968896,2.175488233566284,0.1698923110961914,2.0055959224700928,,,,,,central,,0.995

RFQI,BlackScholes,Call,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,18.034287671337193,2.1252143383026123,0.1593947410583496,1.9658195972442627,,,,,,central,,0.9983200000000001

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,4.4149643150069355,2.3776907920837402,0.1528477668762207,2.2248430252075195,,,,,,central,,0.80198

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.3393777942597485,2.3052945137023926,0.18144917488098145,2.123845338821411,,,,,,central,,0.9187

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,100000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.463053827658016,2.352973699569702,0.18686962127685547,2.1661040782928467,,,,,,central,,0.99992

