algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,alpha,k,weights,step_param1,step_param2,step_param3,step_param4,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,4.763406167405001,2.286973237991333,0.07666897773742676,2.2103042602539062,,,,,,central,,0.8284799999999999

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.656063837153546,2.3305139541625977,0.07661223411560059,2.253901720046997,,,,,,central,,0.9996399999999998

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.67036798370256,2.49741792678833,0.08438992500305176,2.4130280017852783,,,,,,central,,0.9998799999999999

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,2.6139820044753064,2.7296016216278076,0.11357712745666504,2.6160244941711426,,,,,,central,,0.43893999999999994

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,2.2619838833365504,2.6391618251800537,0.1112053394317627,2.527956485748291,,,,,,central,,0.38356

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,150,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.7122142367284825,2.6520049571990967,0.12041687965393066,2.531588077545166,,,,,,central,,0.9991

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,150,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,4.083906426055438,2.763305425643921,0.13760733604431152,2.6256980895996094,,,,,,central,,0.71768

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,150,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.545604627106246,2.6742780208587646,0.13558721542358398,2.5386908054351807,,,,,,central,,0.9997400000000002

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,150,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,2.1294280649949564,2.627061128616333,0.16319537162780762,2.4638657569885254,,,,,,central,,0.3297

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,150,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.753193141131474,2.646606683731079,0.14484214782714844,2.5017645359039307,,,,,,central,,0.9999600000000001

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,50,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.090257582126479,2.5746138095855713,0.20169591903686523,2.372917890548706,,,,,,central,,0.9370799999999999

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,50,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.59180642770374,2.506014585494995,0.19462227821350098,2.311392307281494,,,,,,central,,0.9995800000000001

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,50,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.538806825519174,2.6077051162719727,0.19810962677001953,2.409595489501953,,,,,,central,,0.9646800000000001

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,50,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.2047410550696975,2.579470634460449,0.22661519050598145,2.3528554439544678,,,,,,central,,0.91938

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,50,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.791268166411307,2.6606900691986084,0.2379593849182129,2.4227306842803955,,,,,,central,,0.99998

RFQI,BlackScholes,BasketPut,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.976856997509581,2.4155921936035156,0.15603280067443848,2.259559392929077,,,,,,central,,0.9131

RFQI,BlackScholes,BasketPut,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.9907472291490361,1.963660478591919,0.1635606288909912,1.8000998497009277,,,,,,central,,0.91696

RFQI,BlackScholes,BasketPut,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.9846778930178942,2.243584394454956,0.13029170036315918,2.113292694091797,,,,,,central,,0.9512

RFQI,BlackScholes,BasketPut,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.1311946393239152,2.052401304244995,0.10937261581420898,1.9430286884307861,,,,,,central,,0.9130799999999999

RFQI,BlackScholes,BasketPut,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.0225955969313236,2.7539103031158447,0.1165003776550293,2.6374099254608154,,,,,,central,,0.9402

RFQI,BlackScholes,BasketPut,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,150,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.9595506432911628,2.355210542678833,0.13520050048828125,2.2200100421905518,,,,,,central,,0.9211

RFQI,BlackScholes,BasketPut,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,150,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.0068437796189698,3.0579967498779297,0.14015817642211914,2.9178385734558105,,,,,,central,,0.93304

RFQI,BlackScholes,BasketPut,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,150,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.7453460786172258,2.6930150985717773,0.1415400505065918,2.5514750480651855,,,,,,central,,0.9991200000000001

RFQI,BlackScholes,BasketPut,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,150,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.8395343368260364,3.1535236835479736,0.2138991355895996,2.939624547958374,,,,,,central,,0.8110799999999999

RFQI,BlackScholes,BasketPut,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,150,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.9002988771520152,3.0084848403930664,0.22111749649047852,2.787367343902588,,,,,,central,,0.8848199999999999

RFQI,BlackScholes,BasketPut,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,50,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.9989374993826318,2.6822144985198975,0.2827916145324707,2.3994228839874268,,,,,,central,,0.9314

