algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,alpha,k,weights,step_param1,step_param2,step_param3,step_param4,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,130,70,0.9,3,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.493025375478329,1.8433561325073242,0.05951666831970215,1.783839464187622,,,,,,central,,0.9998800000000001

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,130,70,0.9,3,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.6142634560855695,2.0599846839904785,0.0708169937133789,1.9891676902770996,,,,,,central,,0.9989599999999998

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,130,70,0.9,3,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.5515657669210565,1.7109568119049072,0.059645891189575195,1.651310920715332,,,,,,central,,0.99976

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,130,70,0.9,3,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.610675030517559,2.1007165908813477,0.09105253219604492,2.0096640586853027,,,,,,central,,0.9997799999999999

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,130,70,0.9,3,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.560439465842457,2.0161311626434326,0.07069945335388184,1.9454317092895508,,,,,,central,,0.99892

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,130,70,0.9,7,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.4792624147639595,1.9116573333740234,0.08961009979248047,1.822047233581543,,,,,,central,,0.9772599999999999

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,130,70,0.9,7,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,4.4771177474559165,2.0544073581695557,0.10446739196777344,1.9499399662017822,,,,,,central,,0.80166

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,130,70,0.9,7,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,3.1783239112084956,1.9896900653839111,0.12711811065673828,1.8625719547271729,,,,,,central,,0.5661

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,130,70,0.9,7,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.315082558280182,2.2744593620300293,0.12346267700195312,2.150996685028076,,,,,,central,,0.9393600000000001

RFQI,BlackScholes,BasketCall,0.05,0.2,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,130,70,0.9,7,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.779131262116729,2.1917243003845215,0.13340210914611816,2.0583221912384033,,,,,,central,,0.9997599999999999

RFQI,BlackScholes,BasketCall,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,130,70,0.9,3,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,7.628253306194676,2.1407785415649414,0.15616583824157715,1.9846127033233643,,,,,,central,,0.9986799999999999

RFQI,BlackScholes,BasketCall,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,130,70,0.9,3,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,7.805733660690495,2.063176393508911,0.17311954498291016,1.890056848526001,,,,,,central,,0.9997

RFQI,BlackScholes,BasketCall,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,130,70,0.9,3,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,7.621623461017787,2.5114853382110596,0.19216346740722656,2.319321870803833,,,,,,central,,0.99384

RFQI,BlackScholes,BasketCall,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,130,70,0.9,3,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,7.944974535896901,2.3646881580352783,0.21112823486328125,2.153559923171997,,,,,,central,,0.9999400000000002

RFQI,BlackScholes,BasketCall,0.05,0.4,0.01,2,-0.3,0.75,10,5000,10,100,100,0.0,10000,130,70,0.9,3,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,8.13241236272001,2.2393224239349365,0.16796183586120605,2.0713605880737305,,,,,,central,,0.9980199999999999

