algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,barriers_up,barriers_down
SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,1000,3,100,100,0.0,80,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.0348765850067138,0.0027310848236083,0.0321455001831054,,,,,,central,,,
SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,1000,3,100,100,0.0,90,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.0349361896514892,0.0025618076324462,0.0323743820190429,,,,,,central,,,
SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,1000,3,100,100,0.0,95,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.0308008193969726,0.0016193389892578,0.0291814804077148,,,,,,central,,,
SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,1000,3,100,100,0.0,100,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.0446867942810058,0.0026276111602783,0.0420591831207275,,,,,,central,,,
SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,1000,3,100,100,0.0,105,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,0.2811012793267577,0.0336160659790039,0.0023150444030761,0.0313010215759277,,,,,,central,,,
SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,1000,3,100,100,0.0,110,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,1.9279365188804756,0.0343563556671142,0.0024502277374267,0.0319061279296875,,,,,,central,,,
SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,5,1000,3,100,100,0.0,120,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,7.919801448076209,0.0337131023406982,0.0024001598358154,0.0313129425048828,,,,,,central,,,
SRFQI,BlackScholes,UpAndOutMaxPut,0.02,0.2,0.01,2,-0.3,0.75,5,1000,3,100,100,0.0,80,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.0329768657684326,0.0024371147155761,0.0305397510528564,,,,,,central,,,
SRFQI,BlackScholes,UpAndOutMaxPut,0.02,0.2,0.01,2,-0.3,0.75,5,1000,3,100,100,0.0,90,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.0346949100494384,0.0023612976074218,0.0323336124420166,,,,,,central,,,
SRFQI,BlackScholes,UpAndOutMaxPut,0.02,0.2,0.01,2,-0.3,0.75,5,1000,3,100,100,0.0,95,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.0392231941223144,0.0025219917297363,0.0367012023925781,,,,,,central,,,
SRFQI,BlackScholes,UpAndOutMaxPut,0.02,0.2,0.01,2,-0.3,0.75,5,1000,3,100,100,0.0,100,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.0348777770996093,0.0023765563964843,0.032501220703125,,,,,,central,,,
SRFQI,BlackScholes,UpAndOutMaxPut,0.02,0.2,0.01,2,-0.3,0.75,5,1000,3,100,100,0.0,105,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,0.1640871191321143,0.0325198173522949,0.0024249553680419,0.0300948619842529,,,,,,central,,,
SRFQI,BlackScholes,UpAndOutMaxPut,0.02,0.2,0.01,2,-0.3,0.75,5,1000,3,100,100,0.0,110,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,0.1431960390689048,0.0327804088592529,0.0024616718292236,0.0303187370300292,,,,,,central,,,
SRFQI,BlackScholes,UpAndOutMaxPut,0.02,0.2,0.01,2,-0.3,0.75,5,1000,3,100,100,0.0,120,1,30,10,"(1.0, 1.0, 1.0)",1.0,True,True,0.2210872477534459,0.0315144062042236,0.0024900436401367,0.0290243625640869,,,,,,central,,,
