algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,alpha,k,weights,step_param1,step_param2,step_param3,step_param4,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
RLSM,RealDataStored1763383103077,BasketCall,0.02,0.2,0.01,2,-0.3,0.75,3,5000,252,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,26.632435824478225,1.4940109252929688,0.38878607749938965,1.105224847793579,,,,,,central,,0.8792238095238095

RLSM,RealDataStored1763383103077,BasketCall,0.02,0.2,0.01,2,-0.3,0.75,3,5000,252,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,26.519559725672323,1.4658586978912354,0.3909640312194824,1.074894666671753,,,,,,central,,0.8751968253968254

RLSM,RealDataStored1763383103077,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,3,5000,252,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,41.64064895238158,1.6449427604675293,0.3775818347930908,1.2673609256744385,,,,,,central,,0.8924920634920636

RLSM,RealDataStored1763383103077,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,3,5000,252,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,40.67430430970039,1.6309247016906738,0.3757956027984619,1.255129098892212,,,,,,central,,0.8765158730158732

RLSM,RealDataStored1763383103077,MinPut,0.02,0.2,0.01,2,-0.3,0.75,3,5000,252,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,3.4503901742496264,1.4765586853027344,0.3644740581512451,1.1120846271514893,,,,,,central,,0.06931428571428572

RLSM,RealDataStored1763383103077,MinPut,0.02,0.2,0.01,2,-0.3,0.75,3,5000,252,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.294749174282803,1.5918076038360596,0.38598179817199707,1.2058258056640625,,,,,,central,,0.11996825396825395

LSM,RealDataStored1763383103077,BasketCall,0.02,0.2,0.01,2,-0.3,0.75,3,5000,252,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,27.361272500820533,11.552581548690796,0.3654487133026123,11.187132835388184,,,,,,central,,

LSM,RealDataStored1763383103077,BasketCall,0.02,0.2,0.01,2,-0.3,0.75,3,5000,252,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,27.361272500820533,11.588453769683838,0.37334394454956055,11.215109825134277,,,,,,central,,

LSM,RealDataStored1763383103077,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,3,5000,252,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,42.3643857317674,11.65918779373169,0.37087559700012207,11.288312196731567,,,,,,central,,

LSM,RealDataStored1763383103077,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,3,5000,252,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,42.3643857317674,11.730573654174805,0.36524438858032227,11.365329265594482,,,,,,central,,

LSM,RealDataStored1763383103077,MinPut,0.02,0.2,0.01,2,-0.3,0.75,3,5000,252,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,3.609751357191528,11.758959531784058,0.36728668212890625,11.391672849655151,,,,,,central,,

LSM,RealDataStored1763383103077,MinPut,0.02,0.2,0.01,2,-0.3,0.75,3,5000,252,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1.0,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,3.609751357191528,11.682094097137451,0.35980868339538574,11.322285413742065,,,,,,central,,

