algo,model,payoff,drift,risk_free_rate,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,alpha,k,weights,step_param1,step_param2,step_param3,step_param4,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
RFQI,BlackScholes,BasketCall,0.05,0.05,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.94643023660249,66.92262482643127,39.103941440582275,27.818683385849,,,,,,central,,0.9999920000000001

RFQI,BlackScholes,BasketCall,0.05,0.05,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.922279508084939,67.23184633255005,39.27965188026428,27.952194452285767,,,,,,central,,0.9999819999999999

RFQI,BlackScholes,BasketCall,0.05,0.05,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.926429377638852,66.67435097694397,38.85842990875244,27.81592106819153,,,,,,central,,0.99994

RFQI,BlackScholes,BasketCall,0.05,0.1,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.661957472800254,66.97018218040466,39.23836064338684,27.731821537017822,,,,,,central,,0.9981380000000001

RFQI,BlackScholes,BasketCall,0.05,0.1,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.647731186046009,66.71000719070435,38.987844705581665,27.72216248512268,,,,,,central,,0.9957860000000001

RFQI,BlackScholes,BasketCall,0.05,0.1,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.692042832833245,66.52588701248169,38.39338731765747,28.13249969482422,,,,,,central,,0.9998980000000001

RFQI,BlackScholes,BasketCall,0.05,0.2,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.233822322880585,66.85022950172424,38.830857276916504,28.01937222480774,,,,,,central,,0.996306

RFQI,BlackScholes,BasketCall,0.05,0.2,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.203813986424632,66.69684672355652,38.7968327999115,27.90001392364502,,,,,,central,,0.9909739999999999

RFQI,BlackScholes,BasketCall,0.05,0.2,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,4.233880202545105,66.28212714195251,38.50820183753967,27.773925304412842,,,,,,central,,0.9986160000000001

RFQI,BlackScholes,BasketCall,0.05,0.3,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,3.7987740504287895,66.48654341697693,38.54402279853821,27.94252061843872,,,,,,central,,0.9837940000000001

RFQI,BlackScholes,BasketCall,0.05,0.3,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,3.786161203347938,64.47170209884644,36.777695655822754,27.69400644302368,,,,,,central,,0.9834959999999999

RFQI,BlackScholes,BasketCall,0.05,0.3,0.2,0.01,2,-0.3,0.75,50,50000,10,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,3.790696768311426,66.34098052978516,38.460928201675415,27.88005232810974,,,,,,central,,0.9717120000000001

