algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,alpha,k,weights,step_param1,step_param2,step_param3,step_param4,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
RLSM,BlackScholes,BasketCall,0.02,0.2,0.01,2,-0.3,0.75,1,10000,20,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,20,50,"(1.0, 1.0, 1.0)",1.0,False,True,5.124931915311111,0.3727083206176758,0.030781984329223633,0.34192633628845215,,,,,,central,,0.36598

RLSM,BlackScholes,BasketCall,0.02,0.2,0.01,2,-0.3,0.75,1,10000,20,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,20,50,"(1.0, 1.0, 1.0)",1.0,False,True,5.20396024195459,0.39138007164001465,0.03183245658874512,0.35954761505126953,,,,,,central,,0.370205

RLSM,BlackScholes,BasketCall,0.02,0.2,0.01,2,-0.3,0.75,1,10000,20,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,20,50,"(1.0, 1.0, 1.0)",1.0,False,True,5.677558930030633,0.41829872131347656,0.03334665298461914,0.3849520683288574,,,,,,central,,0.40701000000000004

RLSM,BlackScholes,BasketPut,0.02,0.2,0.01,2,-0.3,0.75,1,10000,20,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,20,50,"(1.0, 1.0, 1.0)",1.0,False,True,3.962223562456527,0.48799800872802734,0.03588461875915527,0.45211338996887207,,,,,,central,,0.30784500000000004

RLSM,BlackScholes,BasketPut,0.02,0.2,0.01,2,-0.3,0.75,1,10000,20,100,100,0.0,1,1,1,0.95,2,,-1,1,-1,1,1,20,50,"(1.0, 1.0, 1.0)",1.0,False,True,4.0731504524267415,0.6818699836730957,0.04496502876281738,0.6369049549102783,,,,,,central,,0.304165

