algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,k,notional,leverage,barrier_stop_loss,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
SRLSM,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.4999999999999999,0.5229735374450684,0.2591218948364258,0.2638516426086426,,,,,,central,,0.11111111111111113

SRLSM,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.4999999999999999,0.45305585861206055,0.2009580135345459,0.25209784507751465,,,,,,central,,0.11111111111111113

SRLSM,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.4999999999999999,0.5203874111175537,0.2634098529815674,0.25697755813598633,,,,,,central,,0.11111111111111113

SRLSM,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.4999999999999999,0.4693026542663574,0.1785445213317871,0.2907581329345703,,,,,,central,,0.11111111111111113

SRLSM,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.495668888092041,0.25571203231811523,0.23995685577392578,,,,,,central,,0.14438888888888893

SRLSM,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.45983290672302246,0.17961549758911133,0.28021740913391113,,,,,,central,,0.14542222222222223

SRLSM,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.4950861930847168,0.25473976135253906,0.24034643173217773,,,,,,central,,0.1455666666666667

SRLSM,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.41065526008605957,0.19472312927246094,0.21593213081359863,,,,,,central,,0.14155555555555557

SRLSM,BlackScholes,LeveragedBasketShortStopLoss,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.5034379959106445,0.25184011459350586,0.25159788131713867,,,,,,central,,0.1629

