algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,k,notional,leverage,barrier_stop_loss,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
SRLSM,BlackScholes,UpAndOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,115,110,80,2,1.0,2.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,5.354482332470913,0.12892484664916992,0.031142473220825195,0.09778237342834473,,,,,,central,,0.561825

SRLSM,BlackScholes,UpAndOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,115,110,80,2,1.0,2.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,5.344195122419403,0.16001510620117188,0.03434562683105469,0.1256694793701172,,,,,,central,,0.5749850000000001

SRLSM,BlackScholes,UpAndOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,115,110,80,2,1.0,2.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,5.369872812918472,0.1656932830810547,0.03633618354797363,0.12935709953308105,,,,,,central,,0.564275

SRLSM,BlackScholes,UpAndOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,115,110,80,2,1.0,2.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,5.358770895798442,0.33974170684814453,0.0657339096069336,0.27400779724121094,,,,,,central,,0.564185

SRLSM,BlackScholes,UpAndOutCall,0.02,0.2,0.01,2,-0.3,0.75,1,20000,10,100,100,0.0,115,110,80,2,1.0,2.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,False,True,5.30435939172624,0.1547408103942871,0.03444409370422363,0.12029671669006348,,,,,,central,,0.56653

