algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,k,notional,leverage,barrier_stop_loss,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
RLSM,BlackScholes,BestOfKCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,18.682683821915575,0.20926833152770996,0.07701396942138672,0.13225436210632324,,,,,,central,,0.9864666666666664

RLSM,BlackScholes,BestOfKCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,19.06555370001099,0.3025386333465576,0.10140180587768555,0.20113682746887207,,,,,,central,,0.9911333333333332

RLSM,BlackScholes,BestOfKCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,19.172023736569468,0.31621408462524414,0.09951210021972656,0.21670198440551758,,,,,,central,,0.9932444444444444

RLSM,BlackScholes,BestOfKCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,18.69281653308916,0.24120593070983887,0.09152364730834961,0.14968228340148926,,,,,,central,,0.9823

RLSM,BlackScholes,BestOfKCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,18.97632288808358,0.22903800010681152,0.07537484169006348,0.15366315841674805,,,,,,central,,0.9823

RLSM,BlackScholes,BestOfKCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,18.9331297807179,0.4158360958099365,0.1668529510498047,0.24898314476013184,,,,,,central,,0.9877666666666666

RLSM,BlackScholes,BestOfKCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,0.9,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,19.096287274687654,0.410632848739624,0.1405651569366455,0.2700676918029785,,,,,,central,,0.9869777777777777

RLSM,BlackScholes,BestOfKCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,19.30549788071153,0.4170989990234375,0.16344213485717773,0.25365686416625977,,,,,,central,,0.987

RLSM,BlackScholes,BestOfKCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,18.76497142835894,0.3501427173614502,0.09734535217285156,0.25279736518859863,,,,,,central,,0.9815333333333334

RLSM,BlackScholes,BestOfKCall,0.02,0.2,0.01,2,-0.3,0.75,5,10000,9,100,100,0.0,1,120,80,2,1.0,5.0,1.1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,19.112333653433495,0.3796403408050537,0.14692187309265137,0.23271846771240234,,,,,,central,,0.9890666666666666

