algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,barriers_up,barriers_down,alpha,k,weights,step_param1,step_param2,step_param3,step_param4,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound,exercise_time
SRFQI,BlackScholes,UO_BasketCall,0.02,0.2,0.01,2,-0.3,0.75,2,2000,5,100,100,0.0,110,110,90,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.0154457554342884,0.09135246276855469,0.0030069351196289062,0.08834552764892578,,,,,,central,,0.7841999999999999

SRFQI,BlackScholes,UO_BasketCall,0.02,0.2,0.01,2,-0.3,0.75,2,2000,5,100,100,0.0,110,110,90,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,1.0666294435179993,0.09389448165893555,0.002842426300048828,0.09105205535888672,,,,,,central,,0.7874

SRFQI,BlackScholes,DO_BasketPut,0.02,0.2,0.01,2,-0.3,0.75,2,2000,5,100,100,0.0,110,110,90,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.11026358604431152,0.0038611888885498047,0.10640239715576172,,,,,,central,,1.0

SRFQI,BlackScholes,DO_BasketPut,0.02,0.2,0.01,2,-0.3,0.75,2,2000,5,100,100,0.0,110,110,90,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,0.10603547096252441,0.0031881332397460938,0.10284733772277832,,,,,,central,,1.0

SRFQI,BlackScholes,UI_GeometricCall,0.02,0.2,0.01,2,-0.3,0.75,2,2000,5,100,100,0.0,110,110,90,0.95,2,,-1,1,-1,1,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,5.822780474692874,0.11740326881408691,0.003438711166381836,0.11396455764770508,,,,,,central,,0.8986000000000001

