algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
RFQI,BlackScholes,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,100000,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,41.890109512300164,1.4115595817565918,0.14864730834960938,1.2629122734069824,,,,,,central,

RFQI,BlackScholes,MaxCall,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,100000,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,41.816689803590045,1.403125286102295,0.13927626609802246,1.2638490200042725,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,80,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.000834213074681027,1.532494306564331,0.14714336395263672,1.3853509426116943,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,80,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,1.5264015197753906,0.19399642944335938,1.3324050903320312,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,80,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,1.5367836952209473,0.18420767784118652,1.3525760173797607,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.000589310027923237,1.708895206451416,0.18690729141235352,1.5219879150390625,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,1.4877898693084717,0.17749571800231934,1.3102941513061523,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,1.6712563037872314,0.18962335586547852,1.481632947921753,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,95,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,1.5880107879638672,0.17006587982177734,1.4179449081420898,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,95,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,1.5278193950653076,0.15494680404663086,1.3728725910186768,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,95,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.00040434266318405696,1.5809528827667236,0.18342804908752441,1.3975248336791992,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,100,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,1.505638837814331,0.20157098770141602,1.304067850112915,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,100,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0009631364100034965,1.5792696475982666,0.20368576049804688,1.3755838871002197,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,100,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,1.5371475219726562,0.17522907257080078,1.3619184494018555,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,105,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.00014944850287045616,1.5330839157104492,0.19307947158813477,1.3400044441223145,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,105,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0013157275444509104,1.5506737232208252,0.2064359188079834,1.3442378044128418,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,105,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,1.6241114139556885,0.1920766830444336,1.4320347309112549,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,110,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.00031896885954022067,1.667795181274414,0.19280505180358887,1.4749901294708252,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,110,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,3.916303353615303e-05,1.5423810482025146,0.19426274299621582,1.3481183052062988,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,110,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0006436170681395703,1.5796034336090088,0.1772165298461914,1.4023869037628174,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,120,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,1.5884032249450684,0.18697810173034668,1.4014251232147217,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,120,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.00016235528661414573,1.629051685333252,0.16778922080993652,1.4612624645233154,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,120,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0012474782559191587,1.5973138809204102,0.17721319198608398,1.4201006889343262,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,100000,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,1.490097999572754,0.16791820526123047,1.3221797943115234,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,100000,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.00018003535107470947,1.6142222881317139,0.17128896713256836,1.4429333209991455,,,,,,central,

RFQI,BlackScholes,MaxPut,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,100000,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,7.933876530611272e-06,1.52944016456604,0.16961908340454102,1.359821081161499,,,,,,central,

RFQI,BlackScholes,MinCall,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,80,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,1.483203411102295,0.1770470142364502,1.3061563968658447,,,,,,central,

RFQI,BlackScholes,MinCall,0.02,0.2,0.01,2,-0.3,0.75,15,10000,3,100,100,0.0,80,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0006967153136029294,1.567767858505249,0.1751089096069336,1.3926589488983154,,,,,,central,

