algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,barrier,maturity,nb_epochs,hidden_size,factors,ridge_coeff,use_payoff_as_input,train_ITM_only,price,duration,time_path_gen,comp_time,delta,gamma,theta,rho,vega,greeks_method,price_upper_bound
SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,15,10000,8,100,100,0.0,80,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,4.729589939117432,0.4283115863800049,4.301278352737427,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,15,10000,8,100,100,0.0,80,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,5.007936000823975,0.37778687477111816,4.6301491260528564,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,15,10000,8,100,100,0.0,80,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,4.774797439575195,0.4245181083679199,4.350279331207275,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,15,10000,8,100,100,0.0,80,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,5.230893135070801,0.5477795600891113,4.6831135749816895,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,15,10000,8,100,100,0.0,80,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,4.873770713806152,0.45449304580688477,4.419277667999268,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,15,10000,8,100,100,0.0,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,4.96295428276062,0.5484025478363037,4.414551734924316,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,15,10000,8,100,100,0.0,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,4.902909994125366,0.5255546569824219,4.377355337142944,,,,,,central,

SRFQI,BlackScholes,UpAndOutMaxCall,0.02,0.2,0.01,2,-0.3,0.75,15,10000,8,100,100,0.0,90,1,30,20,"(1.0, 1.0, 1.0)",1.0,True,True,0.0,4.194080114364624,0.21511459350585938,3.9789655208587646,,,,,,central,

